channel_id,link
UCT2xzagsBVtStUCA2ulvKmQ/community?lc=UgzpXE3jKdldQ_bhIC54AaABAg&lb=UgkxuuJyjG7qVX8jYgH-kbvM_OOzlSHyAGx2,https://www.youtube.com/channel/UCT2xzagsBVtStUCA2ulvKmQ/community?lc=UgzpXE3jKdldQ_bhIC54AaABAg&lb=UgkxuuJyjG7qVX8jYgH-kbvM_OOzlSHyAGx2
UC9o1F_8M5B1hZ00posMaY0g,https://www.youtube.com/channel/UC9o1F_8M5B1hZ00posMaY0g
